Date,Clicks,Impressions,CTR,Position
2026-03-13,2,158,1.27%,15.1
2026-03-14,5,131,3.82%,10
2026-03-15,4,155,2.58%,11.3
2026-03-16,5,200,2.5%,15.3
2026-03-17,2,161,1.24%,15.8
2026-03-18,5,184,2.72%,12.9
2026-03-19,4,198,2.02%,13.8
2026-03-20,5,198,2.53%,11.6
2026-03-21,1,122,0.82%,12.7
2026-03-22,5,133,3.76%,13.1
2026-03-23,2,151,1.32%,13.7
2026-03-24,6,184,3.26%,13
2026-03-25,10,190,5.26%,12.1
2026-03-26,5,155,3.23%,10.5
2026-03-27,9,198,4.55%,12.9
2026-03-28,6,132,4.55%,10.5
2026-03-29,3,116,2.59%,13.4
2026-03-30,6,160,3.75%,11.8
2026-03-31,7,165,4.24%,11.9
2026-04-01,6,148,4.05%,13.2
2026-04-02,0,134,0%,11.6
2026-04-03,4,154,2.6%,16
2026-04-04,2,112,1.79%,13.4
2026-04-05,1,105,0.95%,11.3
2026-04-06,8,131,6.11%,13.7
2026-04-07,8,165,4.85%,10.8
2026-04-08,4,177,2.26%,11.9
2026-04-09,8,232,3.45%,14.2
2026-04-10,3,231,1.3%,16.6
2026-04-11,3,137,2.19%,10.9
2026-04-12,3,148,2.03%,13.6
2026-04-13,2,176,1.14%,11
2026-04-14,1,153,0.65%,12.4
2026-04-15,10,174,5.75%,12.3
2026-04-16,3,166,1.81%,13.5
2026-04-17,7,197,3.55%,13.6
2026-04-18,7,136,5.15%,13.1
2026-04-19,4,114,3.51%,15.5
2026-04-20,7,194,3.61%,14.2
2026-04-21,7,164,4.27%,14.4
2026-04-22,6,176,3.41%,15.6
2026-04-23,4,198,2.02%,14.4
2026-04-24,5,203,2.46%,15.3
2026-04-25,3,156,1.92%,12.6
2026-04-26,1,138,0.72%,15.4
2026-04-27,5,155,3.23%,11.5
2026-04-28,2,229,0.87%,14.1
2026-04-29,3,199,1.51%,11.6
2026-04-30,10,201,4.98%,11.1
2026-05-01,6,186,3.23%,13
2026-05-02,3,131,2.29%,12.6
2026-05-03,5,130,3.85%,15.2
2026-05-04,9,187,4.81%,12.6
2026-05-05,10,186,5.38%,11.1
2026-05-06,4,185,2.16%,13.3
2026-05-07,3,186,1.61%,12.4
2026-05-08,4,194,2.06%,14.8
2026-05-09,0,121,0%,15
2026-05-10,3,149,2.01%,15
2026-05-11,11,203,5.42%,11.9
2026-05-12,1,162,0.62%,16.2
2026-05-13,2,172,1.16%,16.8
2026-05-14,4,184,2.17%,13.5
2026-05-15,7,209,3.35%,12.5
2026-05-16,5,130,3.85%,16.8
2026-05-17,4,132,3.03%,17
2026-05-18,9,179,5.03%,15.5
2026-05-19,9,252,3.57%,22.8
2026-05-20,3,188,1.6%,22.8
2026-05-21,7,271,2.58%,16.7
2026-05-22,4,266,1.5%,29.7
2026-05-23,5,159,3.14%,16.5
2026-05-24,5,165,3.03%,22.8
2026-05-25,4,188,2.13%,19.9
2026-05-26,5,235,2.13%,18.3
2026-05-27,5,179,2.79%,17.3
2026-05-28,7,183,3.83%,21.1
2026-05-29,5,213,2.35%,24.3
2026-05-30,5,133,3.76%,17.9
2026-05-31,8,160,5%,14.4
2026-06-01,6,181,3.31%,17.9
2026-06-02,8,172,4.65%,15
2026-06-03,6,148,4.05%,15.3
2026-06-04,10,192,5.21%,14.6
2026-06-05,7,233,3%,25.5
2026-06-06,2,135,1.48%,17.6
2026-06-07,4,153,2.61%,20.6
2026-06-08,7,179,3.91%,16.2
2026-06-09,5,143,3.5%,17.3
2026-06-10,7,175,4%,17.8
2026-06-11,9,158,5.7%,13.1
2026-06-12,4,172,2.33%,29
