Country,Clicks,Impressions,CTR,Position
United Kingdom,458,14741,3.11%,15.3
Netherlands,2,17,11.76%,7.76
Spain,1,33,3.03%,9.21
Australia,1,17,5.88%,12.12
Ireland,1,10,10%,46.8
Pakistan,1,8,12.5%,34.62
Portugal,1,5,20%,5.6
Cape Verde,1,1,100%,1
United States,0,383,0%,9.07
India,0,124,0%,31.07
Brazil,0,34,0%,19.53
Germany,0,23,0%,9.09
France,0,22,0%,9.36
Vietnam,0,22,0%,21.09
Italy,0,20,0%,19.5
Canada,0,19,0%,10
Philippines,0,15,0%,14.4
Colombia,0,15,0%,16.47
Indonesia,0,15,0%,24.07
South Korea,0,14,0%,8.43
Russia,0,12,0%,7.67
Guernsey,0,12,0%,9.83
Argentina,0,10,0%,15.7
Mexico,0,10,0%,16.9
Bangladesh,0,7,0%,7
South Africa,0,7,0%,7
Romania,0,7,0%,8.14
Belgium,0,7,0%,9.43
Israel,0,7,0%,12.29
Morocco,0,7,0%,14.57
Chile,0,7,0%,20.43
United Arab Emirates,0,6,0%,11
Nigeria,0,6,0%,16
Iraq,0,5,0%,8.4
Malaysia,0,5,0%,9.6
Turkey,0,5,0%,12.6
Thailand,0,4,0%,4.25
Denmark,0,4,0%,5.75
Algeria,0,4,0%,29.25
Switzerland,0,3,0%,4.33
Sweden,0,3,0%,5.33
Bermuda,0,3,0%,5.67
Japan,0,3,0%,5.67
Peru,0,3,0%,13.33
Egypt,0,3,0%,18
Nepal,0,3,0%,23.67
Hong Kong,0,3,0%,59.33
Belarus,0,2,0%,1
Cyprus,0,2,0%,1.5
Serbia,0,2,0%,4.5
Czechia,0,2,0%,5.5
Norway,0,2,0%,8
Bulgaria,0,2,0%,8.5
Senegal,0,2,0%,8.5
Dominican Republic,0,2,0%,9.5
Croatia,0,2,0%,11.5
Poland,0,2,0%,13
Jamaica,0,2,0%,13.5
Kenya,0,2,0%,16.5
El Salvador,0,2,0%,16.5
Ecuador,0,2,0%,22
Costa Rica,0,2,0%,24
Uruguay,0,2,0%,28
Ukraine,0,2,0%,32
Saudi Arabia,0,2,0%,33
Venezuela,0,2,0%,43
Andorra,0,1,0%,1
Iceland,0,1,0%,2
Uzbekistan,0,1,0%,3
Tajikistan,0,1,0%,4
Austria,0,1,0%,5
Moldova,0,1,0%,5
Kyrgyzstan,0,1,0%,6
Taiwan,0,1,0%,6
Malta,0,1,0%,7
Albania,0,1,0%,8
Finland,0,1,0%,8
Hungary,0,1,0%,8
New Zealand,0,1,0%,8
Bahrain,0,1,0%,17
Gambia,0,1,0%,18
Congo - Brazzaville,0,1,0%,21
Zimbabwe,0,1,0%,22
Georgia,0,1,0%,38
Rwanda,0,1,0%,40
St. Helena,0,1,0%,42
Paraguay,0,1,0%,68
